GECCO/CORECT/CCFR; ACCC; FinnGen	ILCCO; BJ; UKB; FinnGen	KidRISK; UKB; FinnGen	PanC4; PanScan I+II; PanScan III; BJ; FinnGen	BJ; N-UGC	INHANCE; UKB; FinnGen	EAS; UKB	MCCS; SCCS; BJ	NBCS; UKB; FinnGen	BJ; CHC; UKB	N-UGC; BJ	BCAC; UKB; FinnGen	PRACTICAL; UKB; BJ; FinnGen	GICC/MDA; GliomaScan; UCSF_Mayo; UCSF_AGS + SFAGS	MENC	UKB; UMS; FinnGen	ECAC; BJ; FinnGen	OCAC; OCAC (EAS); UKB; BJ; FinnGen	23NMSC; UKB; HNMSC	MMAC; UKB	23NMSC; HNMSC; UKB	InterLymph	BC-ALL; C-ALL; SJ-COG	InterLymph	HLS	InterLymph; FinnGen	EPITHYR; TCS; UKB; FinnGen	MMS; UKB; FinnGen	NBS	InterLymph	FinnGen	UKB	ESS	FinnGen	FinnGen	UMS	BC-NHL	KCML	UKB	FinnGen
BCAC; UKB; FinnGen	0.0546784462024089	0.0481769920587709	0.0356940453709731	0.0123814658371566	0	0.0338662771322374	0.026690896446382	0	0.0249165761088029	0.015705466349702	0	0	0	0	0	0.0131815498811818	0.017881735730354	0.0824649873908358	0.029073471732916	0.0462316599041369	0.0209553313890345	0	0	0	0	0.0201104956752873	0.0201252527455238	0.0196602002478131	0	0	0.0186833492903424	0.0086641923907743	0	0.00748327581264065	0.00730656619336336	0	0	0	0.00555989077012748	0.00501824637587202
PRACTICAL; UKB; BJ; FinnGen	0.0494021478545128	0.0631574338287417	0.0322496820852384	0.0357082100385125	0.0358219714667785	0.0305982877416694	0.0241153087586378	0	0.02251220476161	0.0222464630755427	0.0221415604348677	0	0	0	0	0.0119095717126119	0	0	0.0262679730121928	0.0417704499079767	0.018933207717519	0	0	0	0	0.0181698959970503	0.0181832290563518	0.0177630526642325	0	0	0	0.0078281250338478	0	0.00676116319698722	0.00660150550103634	0	0	0	0.00502337877093293	0.00453400135975848
GICC/MDA; GliomaScan; UCSF_Mayo; UCSF_AGS + SFAGS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MENC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UKB; UMS; FinnGen	0.00945883355755411	0.00833414591739888	0.00617471888118403	0.00214187184688228	0	0.00585853294773622	0.00461726264227892	0	0.00431032267019529	0.00271689125173154	0	0.0131815498811818	0.0119095717126119	0	0	0	0.00154668222801598	0.00713281598354335	0.00502942473975771	0.00799762258246858	0.00362506628331246	0	0	0	0	0.00347891801183029	0.00348147083987973	0.00340102133048645	0	0	0.00161601785995164	0.00149882009140469	0	0.00129453313495803	0.00126396410835155	0	0	0	0.000961806434625795	0.000868107280233604
ECAC; BJ; FinnGen	0.0255170277354264	0.018044325376303	0.00418822870746745	0.0225414377855899	0.0226132516949092	0.00397376404456614	0	0.0318528409941209	0.00292363385169982	0.00508582353404354	0.0139772507913488	0.017881735730354	0	0	0	0.00154668222801598	0	0.030886632831243	0	0	0	0	0	0	0	0.0114700675207861	0.00236143481126368	0.00230686699186556	0	0	0.0106560912935627	0	0	0.00426810359294774	0.00416731685464901	0	0	0	0	0.0028621683769796
OCAC; OCAC (EAS); UKB; BJ; FinnGen	0.0295876659833942	0.0378259071244496	0.0193148043769016	0.0213861671479508	0.0214543005244842	0.0183257602489362	0.0144430096994622	0.0302203518744863	0.0134828873634782	0.0133237307966751	0.0132609030770745	0.0824649873908358	0	0	0	0.00713281598354335	0.030886632831243	0	0.0157322716784383	0.0250169309134687	0.0113393738990844	0	0	0	0	0.0108822153906538	0.0108902007540901	0.0106385509922063	0	0	0.0101099562377356	0.00468837811383897	0	0.00404935912747772	0.00395373780766416	0	0	0	0.00300857472068109	0.00271547946044484
23NMSC; UKB; HNMSC	0.00477464947982459	0.0183819473378777	0.0136190748788268	0	0	0.0129216892996421	0.0128216887331003	0	0.00950692789856012	0.0075445424378527	0	0.029073471732916	0.0262679730121928	0	0	0.00502942473975771	0	0.0157322716784383	0	0.022208619110871	0.0100664560633589	0	0	0	0	0	0.00767879687628503	0.00750135594116316	0	0	0	0.00416207744020014	0	0	0	0	0	0	0.00267084280918842	0
MMAC; UKB	0.0075924875068429	0.0292303563023873	0.0216565962190903	0	0	0.020547637054698	0.0203886195068437	0	0.0151175979730612	0.0119970784130413	0	0.0462316599041369	0.0417704499079767	0	0	0.00799762258246858	0	0.0250169309134687	0.022208619110871	0	0.0160073408995132	0	0	0	0	0	0.0122105653194295	0.0119284046940668	0	0	0	0.00661839598922623	0	0	0	0	0	0	0.00424708468070607	0
23NMSC; HNMSC; UKB	0.00344143152339552	0.0132491847406342	0.00981624175879828	0	0	0.00931358607144173	0.00924150850773609	0	0.00685232319126285	0.00543789157401674	0	0.0209553313890345	0.018933207717519	0	0	0.00362506628331246	0	0.0113393738990844	0.0100664560633589	0.0160073408995132	0	0	0	0	0	0	0.00553465835418126	0.00540676397570394	0	0	0	0.00299990702271286	0	0	0	0	0	0	0.00192506752095924	0
